0.0001
Training starts..
/home/menglei/anaconda3/lib/python3.6/site-packages/torch/nn/functional.py:1890: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
Train Epoch: 1 [160/68175 (0%)] | Loss: 7.991718 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:6.723 | Total_Time:10.5846
Train Epoch: 1 [320/68175 (0%)] | Loss: 7.567530 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.1875 | Time:7.0504 | Total_Time:30.557
Train Epoch: 1 [480/68175 (1%)] | Loss: 6.626469 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.1875 | Time:7.0291 | Total_Time:54.5426
Train Epoch: 1 [640/68175 (1%)] | Loss: 6.913194 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.125 | Time:6.8229 | Total_Time:79.7962
Train Epoch: 1 [800/68175 (1%)] | Loss: 6.820045 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.125 | Time:6.8938 | Total_Time:108.631
Train Epoch: 1 [960/68175 (1%)] | Loss: 6.623669 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.3125 | Time:7.7523 | Total_Time:131.5044
Train Epoch: 1 [1120/68175 (2%)] | Loss: 6.768833 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.25 | Time:6.9806 | Total_Time:157.5976
Train Epoch: 1 [1280/68175 (2%)] | Loss: 6.712495 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.125 | Time:7.8872 | Total_Time:182.7634
Train Epoch: 1 [1440/68175 (2%)] | Loss: 6.634253 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.25 | Time:6.9138 | Total_Time:204.8772
Train Epoch: 1 [1600/68175 (2%)] | Loss: 6.287734 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.25 | Time:7.0179 | Total_Time:230.1986
Train Epoch: 1 [1760/68175 (3%)] | Loss: 6.415784 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.1875 | Time:7.0098 | Total_Time:250.7416
Train Epoch: 1 [1920/68175 (3%)] | Loss: 6.158721 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.4375 | Time:6.8928 | Total_Time:274.1397
Train Epoch: 1 [2080/68175 (3%)] | Loss: 6.403216 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.25 | Time:6.9974 | Total_Time:300.3558
Train Epoch: 1 [2240/68175 (3%)] | Loss: 5.231157 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:6.8459 | Total_Time:325.8974
Train Epoch: 1 [2400/68175 (4%)] | Loss: 5.894886 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.25 | Time:6.9154 | Total_Time:350.9329
Train Epoch: 1 [2560/68175 (4%)] | Loss: 5.522367 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.4375 | Time:6.9174 | Total_Time:376.9159
Train Epoch: 1 [2720/68175 (4%)] | Loss: 5.757994 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:6.9886 | Total_Time:403.9897
Train Epoch: 1 [2880/68175 (4%)] | Loss: 5.231232 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:6.9799 | Total_Time:429.6182
Train Epoch: 1 [3040/68175 (4%)] | Loss: 5.428028 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:6.9374 | Total_Time:453.3091
Train Epoch: 1 [3200/68175 (5%)] | Loss: 5.085010 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:7.032 | Total_Time:476.5874
Train Epoch: 1 [3360/68175 (5%)] | Loss: 5.218468 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.625 | Time:6.9157 | Total_Time:500.6357
Train Epoch: 1 [3520/68175 (5%)] | Loss: 5.506054 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.3125 | Time:6.9934 | Total_Time:527.9219
Train Epoch: 1 [3680/68175 (5%)] | Loss: 5.261091 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:6.9379 | Total_Time:554.2439
Train Epoch: 1 [3840/68175 (6%)] | Loss: 5.208634 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5 | Time:6.9358 | Total_Time:579.5713
Train Epoch: 1 [4000/68175 (6%)] | Loss: 5.237565 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.375 | Time:6.8831 | Total_Time:603.2839
Train Epoch: 1 [4160/68175 (6%)] | Loss: 4.930140 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:6.9207 | Total_Time:630.1985
Train Epoch: 1 [4320/68175 (6%)] | Loss: 5.100128 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5625 | Time:6.9095 | Total_Time:652.9022
Train Epoch: 1 [4480/68175 (7%)] | Loss: 5.447029 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.4375 | Time:6.9389 | Total_Time:676.6898
Train Epoch: 1 [4640/68175 (7%)] | Loss: 5.112925 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.4375 | Time:6.9162 | Total_Time:700.2861
Train Epoch: 1 [4800/68175 (7%)] | Loss: 5.234539 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.375 | Time:6.8997 | Total_Time:725.0961
Train Epoch: 1 [4960/68175 (7%)] | Loss: 4.964274 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5 | Time:6.9911 | Total_Time:748.3508
Train Epoch: 1 [5120/68175 (8%)] | Loss: 4.953713 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:6.9501 | Total_Time:772.5178
Train Epoch: 1 [5280/68175 (8%)] | Loss: 4.757648 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.625 | Time:7.5129 | Total_Time:799.263
Train Epoch: 1 [5440/68175 (8%)] | Loss: 4.583996 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.8125 | Time:6.8737 | Total_Time:823.559
Train Epoch: 1 [5600/68175 (8%)] | Loss: 4.634757 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5625 | Time:6.9343 | Total_Time:849.4927
Train Epoch: 1 [5760/68175 (8%)] | Loss: 4.425946 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:7.0107 | Total_Time:874.6683
Train Epoch: 1 [5920/68175 (9%)] | Loss: 5.263860 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:7.4382 | Total_Time:896.1363
Train Epoch: 1 [6080/68175 (9%)] | Loss: 4.291777 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.75 | Time:6.9433 | Total_Time:918.154
Train Epoch: 1 [6240/68175 (9%)] | Loss: 4.835601 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:6.9353 | Total_Time:942.7865
Train Epoch: 1 [6400/68175 (9%)] | Loss: 4.483400 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:6.9651 | Total_Time:967.2223
Train Epoch: 1 [6560/68175 (10%)] | Loss: 4.218192 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5625 | Time:7.0164 | Total_Time:989.0258
Train Epoch: 1 [6720/68175 (10%)] | Loss: 4.319934 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:6.8975 | Total_Time:1012.7413
Train Epoch: 1 [6880/68175 (10%)] | Loss: 4.179801 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.9835 | Total_Time:1032.6107
Train Epoch: 1 [7040/68175 (10%)] | Loss: 4.619938 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5 | Time:6.6644 | Total_Time:1044.5112
Train Epoch: 1 [7200/68175 (11%)] | Loss: 4.490622 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:6.6464 | Total_Time:1057.158
Train Epoch: 1 [7360/68175 (11%)] | Loss: 5.199669 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.375 | Time:6.6898 | Total_Time:1064.3915
Train Epoch: 1 [7520/68175 (11%)] | Loss: 4.650070 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.4375 | Time:7.2964 | Total_Time:1082.5615
Train Epoch: 1 [7680/68175 (11%)] | Loss: 4.359202 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.7876 | Total_Time:1105.1188
