0.0001
Training starts..
Train Epoch: 1 [0/68175 (0%)] | Loss: 5.148939 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0625 | Time:52.3779 | Total_Time:5.4832
Train Epoch: 1 [160/68175 (0%)] | Loss: 5.097989 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0625 | Time:12.1327 | Total_Time:17.6334
Train Epoch: 1 [320/68175 (0%)] | Loss: 4.904221 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.125 | Time:12.1491 | Total_Time:29.7971
Train Epoch: 1 [480/68175 (1%)] | Loss: 5.132502 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:12.2673 | Total_Time:41.9987
Train Epoch: 1 [640/68175 (1%)] | Loss: 4.759894 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.125 | Time:12.2475 | Total_Time:54.2129
Train Epoch: 1 [800/68175 (1%)] | Loss: 5.068874 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:12.1909 | Total_Time:66.4542
Train Epoch: 1 [960/68175 (1%)] | Loss: 4.891317 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:12.2003 | Total_Time:78.6947
Train Epoch: 1 [1120/68175 (2%)] | Loss: 4.901092 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.0625 | Time:12.1961 | Total_Time:90.946
Train Epoch: 1 [1280/68175 (2%)] | Loss: 4.776685 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:12.2251 | Total_Time:103.2137
Train Epoch: 1 [1440/68175 (2%)] | Loss: 4.687377 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0625 | Time:12.2991 | Total_Time:115.5025
Train Epoch: 1 [1600/68175 (2%)] | Loss: 4.669525 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.125 | Time:12.3267 | Total_Time:127.7849
Train Epoch: 1 [1760/68175 (3%)] | Loss: 4.591982 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:12.2943 | Total_Time:140.0707
Train Epoch: 1 [1920/68175 (3%)] | Loss: 4.624782 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0625 | Time:12.3136 | Total_Time:152.355
Train Epoch: 1 [2080/68175 (3%)] | Loss: 4.559961 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.125 | Time:12.2581 | Total_Time:164.6412
Train Epoch: 1 [2240/68175 (3%)] | Loss: 4.568263 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.2025 | Total_Time:176.9171
Train Epoch: 1 [2400/68175 (4%)] | Loss: 4.702181 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:12.1878 | Total_Time:189.1748
Train Epoch: 1 [2560/68175 (4%)] | Loss: 4.597569 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.125 | Time:12.2111 | Total_Time:201.4333
Train Epoch: 1 [2720/68175 (4%)] | Loss: 4.564737 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.25 | Time:12.2839 | Total_Time:213.7024
Train Epoch: 1 [2880/68175 (4%)] | Loss: 4.439389 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.2731 | Total_Time:225.9627
Train Epoch: 1 [3040/68175 (4%)] | Loss: 4.474902 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.125 | Time:12.2754 | Total_Time:238.2423
Train Epoch: 1 [3200/68175 (5%)] | Loss: 4.618337 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0 | Time:12.224 | Total_Time:250.5307
Train Epoch: 1 [3360/68175 (5%)] | Loss: 4.155333 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.2759 | Total_Time:262.8136
Train Epoch: 1 [3520/68175 (5%)] | Loss: 4.130369 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.3594 | Total_Time:275.0948
Train Epoch: 1 [3680/68175 (5%)] | Loss: 4.393198 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.0625 | Time:12.3133 | Total_Time:287.392
Train Epoch: 1 [3840/68175 (6%)] | Loss: 4.134898 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.3125 | Time:12.3063 | Total_Time:299.6676
Train Epoch: 1 [4000/68175 (6%)] | Loss: 3.994023 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.375 | Time:12.2677 | Total_Time:311.9431
Train Epoch: 1 [4160/68175 (6%)] | Loss: 4.112325 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.25 | Time:12.3315 | Total_Time:324.2266
Train Epoch: 1 [4320/68175 (6%)] | Loss: 4.221310 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.1875 | Time:12.3511 | Total_Time:336.5385
Train Epoch: 1 [4480/68175 (7%)] | Loss: 3.790206 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.25 | Time:12.2459 | Total_Time:348.8271
Train Epoch: 1 [4640/68175 (7%)] | Loss: 3.996158 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.2286 | Total_Time:361.1101
Train Epoch: 1 [4800/68175 (7%)] | Loss: 3.860615 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.375 | Time:12.2794 | Total_Time:373.38
Train Epoch: 1 [4960/68175 (7%)] | Loss: 3.409695 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.5625 | Time:12.2788 | Total_Time:385.6503
